open,high,low,close,volume,vwap,timestamp,transactions,otc
544.89,546.33,544.8525,545.76,1443597.0,545.4683,1744228320000,12651,
545.78,546.015,544.7,544.86,1385227.0,540.9334,1744228380000,9738,
544.86,545.32,543.97,544.09,1588768.0,537.0104,1744228440000,13229,
544.09,545.12,543.52,543.74,1591965.0,544.126,1744228500000,13439,
543.71,543.89,541.83,542.55,1209825.0,542.6368,1744228560000,10298,
542.54,543.89,542.54,543.6599,1419563.0,543.4219,1744228620000,11921,
543.64,544.22,543.25,543.585,2242459.0,541.0066,1744228680000,18059,
543.59,544.56,542.66,543.37,4637786.0,542.7105,1744228740000,29945,
543.35,548.62,541.8,544.3,1224688.0,544.5309,1744228800000,4264,
544.3,545.4,544.0,544.47,526170.0,544.6818,1744228860000,2380,
544.56,548.62,544.12,544.4,843755.0,545.6008,1744228920000,1906,
544.27,544.48,543.51,543.69,260290.0,544.0379,1744228980000,1379,
543.69,543.98,543.2,543.31,243793.0,543.6761,1744229040000,1356,
543.24,543.62,542.86,543.34,197641.0,543.2137,1744229100000,1133,
543.39,544.37,543.33,543.41,800479.0,543.7601,1744229160000,1707,
543.41,544.43,543.29,544.24,498195.0,543.7434,1744229220000,1160,
544.28,545.6,543.72,545.56,1245288.0,543.9604,1744229280000,1123,
545.39,545.42,544.84,545.05,106929.0,545.1698,1744229340000,612,
544.99,545.1,543.65,543.81,171659.0,544.1989,1744229400000,809,
543.96,544.21,543.44,543.72,125168.0,543.8392,1744229460000,680,
543.68,543.76,542.97,543.06,169476.0,543.2355,1744229520000,1120,
543.05,543.47,542.96,543.02,7411244.0,541.2962,1744229580000,1064,
542.99,543.1,542.4706,542.8,540498.0,510.2213,1744229640000,1003,
542.71,543.8,542.71,543.8,711292.0,501.6375,1744229700000,647,
543.88,543.95,543.38,543.75,188574.0,511.9962,1744229760000,582,
543.75,543.79,543.5,543.74,306463.0,504.6821,1744229820000,372,
543.76,544.5,543.75,544.23,109564.0,544.3871,1744229880000,610,
544.26,544.51,544.21,544.21,62414.0,544.3925,1744229940000,376,
544.24,544.55,544.24,544.38,31976.0,544.4171,1744230000000,327,
544.6,544.8,544.41,544.47,39966.0,544.5649,1744230060000,362,
544.5,544.69,544.34,544.34,54133.0,544.5061,1744230120000,564,
544.44,544.65,544.35,544.5514,32118.0,544.4803,1744230180000,305,
544.5,544.53,544.37,544.48,9561.0,544.454,1744230240000,136,
544.59,545.06,544.59,545.06,105453.0,544.8377,1744230300000,606,
545.0001,545.12,544.8411,545.1,16697.0,545.017,1744230360000,199,
545.1442,545.1442,543.73,544.97,208015.0,543.9119,1744230420000,291,
545.0,545.05,544.74,544.91,86026.0,544.8405,1744230480000,495,
544.81,544.95,544.61,544.87,1012810.0,531.9757,1744230540000,339,
544.79,544.88,544.25,544.25,22168.0,544.5912,1744230600000,185,
544.24,544.51,544.15,544.35,24057.0,544.4198,1744230660000,292,
544.43,544.51,544.4,544.4,318030.0,506.2399,1744230720000,462,
544.46,544.78,544.38,544.78,26154.0,544.6702,1744230780000,246,
544.8,545.17,544.74,545.0801,23046.0,544.9324,1744230840000,220,
545.0,545.03,544.72,544.74,26104.0,544.8233,1744230900000,210,
544.8,544.88,544.69,544.73,35829.0,544.798,1744230960000,282,
544.83,545.0,544.77,544.98,40068.0,544.8629,1744231020000,353,
545.02,545.05,544.9,544.98,48573.0,544.9787,1744231080000,442,
544.98,545.15,544.95,545.05,65518.0,545.0096,1744231140000,376,
545.08,545.32,545.08,545.16,42281.0,545.2112,1744231200000,299,
545.2,545.47,545.2,545.31,27737.0,545.3458,1744231260000,243,
545.31,545.32,545.06,545.0917,23207.0,545.2288,1744231320000,204,
545.1,545.13,544.93,545.02,30687.0,545.0381,1744231380000,267,
545.2,545.27,545.07,545.2,35786.0,545.1888,1744231440000,182,
545.11,545.2299,545.05,545.1,10544.0,545.107,1744231500000,179,
545.16,545.178,545.06,545.06,4156.0,545.0939,1744231560000,121,
545.15,545.53,545.15,545.27,15090.0,545.3173,1744231620000,197,
545.2701,545.47,545.24,545.3699,11453.0,545.3018,1744231680000,134,
545.33,545.61,545.301,545.57,14139.0,545.5027,1744231740000,188,
545.6,545.65,545.44,545.5,43646.0,545.538,1744231800000,273,
545.5,546.0,545.45,545.53,43324.0,545.8021,1744231860000,354,
545.62,545.78,545.5,545.63,79322.0,545.6393,1744231920000,380,
545.66,546.06,545.61,545.98,67612.0,545.9292,1744231980000,305,
545.95,545.99,545.81,545.87,36141.0,545.9524,1744232040000,180,
545.91,545.93,545.67,545.68,16296.0,545.7431,1744232100000,169,
545.62,545.99,545.57,545.95,32837.0,545.8426,1744232160000,348,
545.92,546.04,545.77,545.77,17444.0,545.9616,1744232220000,214,
545.84,546.13,545.84,546.1,10648.0,545.9832,1744232280000,156,
546.04,546.08,543.7334,545.82,178276.0,543.8334,1744232340000,206,
545.82,546.092,545.82,545.87,1744.0,546.0764,1744232400000,78,
545.95,546.0,545.8719,546.0,1948.0,545.9565,1744232460000,116,
545.98,546.0,545.922,546.0,4259.0,545.9735,1744232520000,153,
546.0,546.0795,545.93,546.0,4681.0,546.1365,1744232580000,147,
546.06,546.08,545.93,545.93,4616.0,545.9901,1744232640000,108,
546.03,546.03,545.85,545.9,10224.0,545.7081,1744232700000,162,
545.95,545.95,545.8,545.9,3473.0,545.6476,1744232760000,84,
545.92,545.92,545.86,545.86,3709.0,545.9884,1744232820000,118,
545.85,545.95,545.81,545.88,9710.0,545.8811,1744232880000,177,
545.87,545.95,545.85,545.95,9233.0,545.8944,1744232940000,91,
545.93,546.03,545.91,546.03,11540.0,545.9412,1744233000000,138,
546.05,546.3,546.05,546.2,10999.0,546.1322,1744233060000,186,
546.18,546.28,546.15,546.26,3469.0,546.2224,1744233120000,104,
546.26,546.28,546.15,546.15,7286.0,546.2356,1744233180000,123,
546.18,546.25,546.13,546.15,19015.0,546.1898,1744233240000,169,
546.15,546.27,546.1484,546.25,28901.0,546.2102,1744233300000,140,
546.1,546.27,546.05,546.1,30932.0,546.2255,1744233360000,229,
546.23,546.27,546.1601,546.188,28866.0,546.2411,1744233420000,173,
546.2,546.23,546.12,546.23,4691.0,546.1544,1744233480000,95,
546.15,546.2561,546.15,546.24,23013.0,546.2333,1744233540000,119,
